day_id,day,program_id,startTime,endTime,title,host,description,imageUrl
1,Monday,p1,03:00,03:30,"Introduction, Prayer and rollcall",Moses Okello Akokoro,Opening the station with soft gospel music and prayer from any willing listener.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p2,03:30,04:00,Local Update,Moses Okello Akokoro,Listeners call in and give feedback of what happened in the night in their local arears,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p3,04:00,04:30,Testimonies,Moses Okello Akokoro,Listener calls to testify the good that the lord has done to him or her,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p4,04:30,05:00,PRAYER REQUEST,Moses Okello Akokoro,Listener cannel prayer request through the presenter for the preacher ‘s action,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p5,05:00,06:00,Preaching ,Moses Okello Akokoro,"Pastors, Rev, and Evangelists from al the local Christian background take the platform",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p6,06:00,07:00,Arise and shine,Moses Okello Akokoro,"Presenter interacts with the listener, greetings, dedication , music and call in",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p7,07:00,07:30,Morning News,Opio Bobson,Latest events,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p8,07:30,08:00,Morning Vex,Angura Ambrose and Opio Bobson,Presenters and Callers Share what disgusts them,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p9,08:00,09:00,morning Talkback ,Angura Ambrose and Opio Bobson,Discussions of issues at hand,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p10,09:00,10:00,Announcements,A. Patricia,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p11,10:00,10:15,TOP OF THE HOUR ENG NEWS,Nancy Atim,1st English news bullet inn with both local  national and international content.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p12,10:15,11:00,QUOTE OF THE DAY,Okello Innocent,"Mention of the most inspiring words, strange but true, forex rates, press & weather update ",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p13,11:00,11:30,Announcements,A. Patricia,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p14,11:30,12:00,Strange But true Facts,Okello Innocent,Present shares the most interesting strange facts ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p15,12:00,12:15,Boxing Ring,Okello Innocent,Callers are given two songs to choose which one plays next,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p16,12:15,12:30,Brainteaser,Okello Innocent,Presenter asks a tricky question and listeners give the Answers,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p17,12:30,12:45,Triple Play,Okello Innocent,A Lister Calls in and requests for 3 Songs.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p18,12:45,13:00,Job Slots,Okello Innocent,Presenter runs mentions for Job Oprotunities. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p19,13:00,13:15,News In Luo,Oyugi Frank ,News in the local language ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p20,13:15,14:00,Announcements,A. Patricia,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p21,14:00,16:00,Sports Bench,Lady J and Brian,Lates information on all sports news.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p22,16:00,16:15,Evening Flight (Rolecall),Oscar Akwar Atat,Checkups on All listeners  ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p23,16:15,16:30,Quote of the hour,Oscar Akwar Atat,"Mention of the most inspiring words, strange but true, forex rates, press & weather update ",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p24,16:30,16:45,Cuk Atedero,Oscar Akwar Atat,Liteners call in and sale or buy live on air,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p25,16:45,17:00,Weather Update,Oscar Akwar Atat,Weather is forcust discused at lenth,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p26,17:00,18:00,COMMUNITY DIALOGUE,Oscar Akwar Atat,Engaging members of the community  on some topic issues affecting them.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p27,18:00,19:00,Hot 6 at 6,Oscar Akwar Atat,Afrobeat Music is played with 6 selected,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p28,19:00,19:30,Perspectives Documentary,Ogwal Jasper,"Slot allocated for feature stories , pre-recorded programs  and documentaries",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p29,19:30,20:00,HOT 7 @ 7 LOCAL HITS,Ogwal Jasper,Count down of hot local collection with brief profile of their artists.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p30,20:00,21:00,Talkshow,Ogwal Jasper,"To paid up by NGOs, CBOs,  Local & Central Governments and any willing partner",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
